YEAR,MONTH,DAY,MINUTE,DateTime,USGS_STAGE,CFS
2014,12,8,0,12/8/2014 0:00,,4.61
2014,12,8,15,12/8/2014 0:15,,4.61
2014,12,8,30,12/8/2014 0:30,,4.5
2014,12,8,45,12/8/2014 0:45,,4.61
2014,12,8,60,12/8/2014 1:00,,4.5
2014,12,8,75,12/8/2014 1:15,,4.5
2014,12,8,90,12/8/2014 1:30,,4.5
2014,12,8,105,12/8/2014 1:45,,4.5
2014,12,8,120,12/8/2014 2:00,,4.5
2014,12,8,130,12/8/2014 2:10,,4.5
2014,12,8,135,12/8/2014 2:15,,4.5
2014,12,8,150,12/8/2014 2:30,,4.5
2014,12,8,165,12/8/2014 2:45,,4.5
2014,12,8,180,12/8/2014 3:00,,4.4
2014,12,8,195,12/8/2014 3:15,,4.4
2014,12,8,210,12/8/2014 3:30,,4.4
2014,12,8,225,12/8/2014 3:45,,4.29
2014,12,8,240,12/8/2014 4:00,,4.29
2014,12,8,255,12/8/2014 4:15,,4.19
2014,12,8,270,12/8/2014 4:30,,4.19
2014,12,8,285,12/8/2014 4:45,,4.19
2014,12,8,300,12/8/2014 5:00,,4.09
2014,12,8,315,12/8/2014 5:15,,4.09
2014,12,8,330,12/8/2014 5:30,,4
2014,12,8,345,12/8/2014 5:45,,4
2014,12,8,360,12/8/2014 6:00,,3.9
2014,12,8,375,12/8/2014 6:15,,3.81
2014,12,8,390,12/8/2014 6:30,,3.81
2014,12,8,405,12/8/2014 6:45,,3.72
2014,12,8,420,12/8/2014 7:00,,3.54
2014,12,8,435,12/8/2014 7:15,,3.63
2014,12,8,450,12/8/2014 7:30,,3.45
2014,12,8,465,12/8/2014 7:45,,3.37
2014,12,8,480,12/8/2014 8:00,,3.37
2014,12,8,495,12/8/2014 8:15,,3.28
2014,12,8,510,12/8/2014 8:30,,3.28
2014,12,8,525,12/8/2014 8:45,,3.2
2014,12,8,540,12/8/2014 9:00,,3.12
2014,12,8,555,12/8/2014 9:15,,3.12
2014,12,8,570,12/8/2014 9:30,,3.2
2014,12,8,585,12/8/2014 9:45,,3.2
2014,12,8,600,12/8/2014 10:00,,3.2
2014,12,8,610,12/8/2014 10:10,,3.2
2014,12,8,615,12/8/2014 10:15,,3.28
2014,12,8,630,12/8/2014 10:30,,3.28
2014,12,8,645,12/8/2014 10:45,,3.28
2014,12,8,660,12/8/2014 11:00,,3.28
2014,12,8,675,12/8/2014 11:15,,3.37
2014,12,8,690,12/8/2014 11:30,,3.37
2014,12,8,705,12/8/2014 11:45,,3.45
2014,12,8,720,12/8/2014 12:00,,3.45
